Sample_ID,Original_Sentence,Original_Intent,Original_Entities,Augmented_Sentence,Augmented_Intent,Augmented_Entities,Augmentation_Method,Quality_Score_1_5,Naturalness_Score_1_5,Comments,Approved_Yes_No
75,nhạc to quá em giảm cho anh cái radio xuống 65% nhé,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]",Bạn ơi nhạc to quá em giảm cho anh cái radio xuống 65% nhé được không,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]",politeness_addition,,,,
76,bạn ơi tăng giúp tôi cái radio thêm 31% nhé,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""changing value"", ""filler"": ""31%""}]",bạn ơi nâng giúp tôi cái radio thêm 31% nhé,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""changing value"", ""filler"": ""31%""}]",synonym_replacement,,,,
77,em ơi tăng giúp chị cái radio đến 31% đi,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""changing value"", ""filler"": ""31%""}]",em ơi nâng giúp chị cái radio đến 31% đi,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""changing value"", ""filler"": ""31%""}]",synonym_replacement,,,,
78,em ơi tăng giúp chị cái radio đến 31% đi,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""changing value"", ""filler"": ""31%""}]",Anh/chị ơi em ơi tăng giúp chị cái radio đến 31% đi giúp tôi,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""changing value"", ""filler"": ""31%""}]",politeness_addition,,,,
79,"tiếng radio hơi to, em giảm giúp anh xuống 65% với",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]","tiếng radio hơi to, em giảm xuống giúp anh xuống 65% với",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]",synonym_replacement,,,,
80,"tiếng radio hơi to, em giảm giúp anh xuống 65% với",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]","tiếng radio hơi to, em giảm giúp anh xuống 65% với đi",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]",politeness_addition,,,,
81,"cái âm lượng của radio to quá, hãy giảm cho tôi xuống 65% nhá",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]","cái âm lượng của radio to quá, hãy điều chỉnh xuống cho tôi xuống 65% nhá",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]",synonym_replacement,,,,
82,"cái âm lượng của radio to quá, hãy giảm cho tôi xuống 65% nhá",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]","cái âm lượng của radio to quá, hãy giảm cho tôi xuống 65% nhá được chứ",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]",politeness_addition,,,,
83,em ơi radio hơi to em giảm giúp anh với,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",em ơi radio hơi to em hạ giúp anh với,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",synonym_replacement,,,,
84,em ơi radio hơi to em giảm giúp anh với,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",em ơi radio hơi to em giảm giúp anh với đi,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",politeness_addition,,,,
85,tăng cho chị cái radio trong phòng thay đồ số 2 lên khoảng 38%,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng thay đồ số 2""}, {""type"": ""target number"", ""filler"": ""38%""}]",tăng lên cho chị cái radio trong phòng thay đồ số 2 lên khoảng 38%,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng thay đồ số 2""}, {""type"": ""target number"", ""filler"": ""38%""}]",synonym_replacement,,,,
86,"trời cũng đỡ lạnh rùi em ơi, giảm hộ anh cái bóng sưởi xuống 76% nhá",giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""bóng sưởi""}, {""type"": ""target number"", ""filler"": ""76%""}]","trời cũng đỡ lạnh rùi em ơi, hạ hộ anh cái bóng sưởi xuống 76% nhá",giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""bóng sưởi""}, {""type"": ""target number"", ""filler"": ""76%""}]",synonym_replacement,,,,
87,tăng cho mình cái radio ở phòng thay đồ số 2 với,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng thay đồ số 2""}]",điều chỉnh lên cho mình cái radio ở phòng thay đồ số 2 với,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng thay đồ số 2""}]",synonym_replacement,,,,
88,tăng cho mình cái radio ở phòng thay đồ số 2 với,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng thay đồ số 2""}]",tăng cho mình cái radio ở phòng thay đồ số 2 với nha,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng thay đồ số 2""}]",politeness_addition,,,,
89,em giảm cho chị cái máy lạnh xuống đi không dùng nữa đâu,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",em giảm xuống cho chị cái máy lạnh xuống đi không dùng nữa đâu,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
90,em giảm cho chị cái máy lạnh xuống đi không dùng nữa đâu,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",Giúp tôi em giảm cho chị cái máy lạnh xuống đi không dùng nữa đâu,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",politeness_addition,,,,
91,bạn tăng cho tớ cái radio lên với,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",bạn nâng cho tớ cái radio lên với,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",synonym_replacement,,,,
92,bạn tăng cho tớ cái radio lên với,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",bạn tăng cho tớ cái radio lên với với,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",politeness_addition,,,,
93,"lạnh quá, em giảm cho anh cái máy lạnh với",giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]","lạnh quá, em giảm xuống cho anh cái máy lạnh với",giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
94,em ơi giảm cho anh cái máy lạnh với,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",em ơi giảm xuống cho anh cái máy lạnh với,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
95,em ơi giảm cho anh cái máy lạnh với,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",Giúp tôi em ơi giảm cho anh cái máy lạnh với đi,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",politeness_addition,,,,
96,em ơi giảm cho anh cái radio xuống 65% với,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]",em ơi hạ cho anh cái radio xuống 65% với,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]",synonym_replacement,,,,
97,em ơi giảm cho anh cái radio xuống 65% với,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]",em ơi giảm cho anh cái radio xuống 65% với được chứ,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]",politeness_addition,,,,
98,bạn ơi hãy tăng ti vi lên,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]",bạn ơi hãy nâng ti vi lên,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]",synonym_replacement,,,,
99,"vẫn hơi nóng, giảm cho anh cái máy lạnh xuống em ơi",giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]","vẫn hơi nóng, điều chỉnh xuống cho anh cái máy lạnh xuống em ơi",giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
100,"vẫn hơi nóng, giảm cho anh cái máy lạnh xuống em ơi",giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]","Giúp tôi vẫn hơi nóng, giảm cho anh cái máy lạnh xuống em ơi nha",giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",politeness_addition,,,,
